time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-29T12:00:01.338Z,-15.4224,168.0997,120.91,4.6,mb,,113,6.259,0.43,us,us7000h5u1,2022-04-29T12:20:18.040Z,"101 km E of Luganville, Vanuatu",earthquake,8.7,9.2,0.122,20,reviewed,us,us
2022-04-28T09:29:17.878Z,-19.9753,169.9052,234.54,4.4,mb,,131,3.484,0.57,us,us7000h5l6,2022-04-28T10:07:37.040Z,"81 km SE of Isangel, Vanuatu",earthquake,12.6,8.3,0.095,32,reviewed,us,us
2022-04-27T23:09:23.868Z,-19.2902,167.5419,10,5.4,mww,,72,3.307,1.01,us,us7000h5hl,2022-04-28T23:12:37.777Z,"182 km N of Wé, New Caledonia",earthquake,7.6,1.8,0.089,12,reviewed,us,us
2022-04-27T08:49:17.877Z,-22.8711,170.9858,10,4.9,mb,,134,6.73,1.33,us,us6000hgml,2022-04-27T09:04:30.040Z,southeast of the Loyalty Islands,earthquake,11.8,2,0.112,25,reviewed,us,us
2022-04-26T00:41:26.104Z,-12.6056,166.7839,86,4.7,mb,,212,7.412,0.35,us,us6000hgd4,2022-04-26T01:37:28.040Z,"163 km NNW of Sola, Vanuatu",earthquake,14.2,10.6,0.143,15,reviewed,us,us
2022-04-23T11:59:11.702Z,-17.8386,168.264,50.34,4.5,mb,,143,2.586,0.65,us,us6000hfzc,2022-04-24T22:56:12.549Z,"12 km SSW of Port-Vila, Vanuatu",earthquake,8.8,9.8,0.156,13,reviewed,us,us
2022-04-20T20:05:04.221Z,-15.1839,167.9568,10,4.5,mb,,166,0.772,1.25,us,us6000hf40,2022-04-29T20:05:02.040Z,"93 km ENE of Luganville, Vanuatu",earthquake,5.5,1.9,0.096,32,reviewed,us,us
2022-04-20T17:58:17.844Z,-22.6918,170.8634,10,4.9,mb,,122,3.157,1.05,us,us6000hf2i,2022-04-29T18:46:35.040Z,southeast of the Loyalty Islands,earthquake,10.8,1.9,0.091,39,reviewed,us,us
2022-04-20T05:13:07.899Z,-22.9058,170.8329,10,5.9,mww,,42,3.139,1.46,us,us7000h3h9,2022-04-21T05:16:37.927Z,southeast of the Loyalty Islands,earthquake,8.1,1.8,0.039,62,reviewed,us,us
2022-04-20T04:49:38.725Z,-15.8325,167.5357,74.16,4.8,mb,,85,5.617,0.61,us,us7000h3h6,2022-04-20T22:50:02.040Z,"29 km NNE of Norsup, Vanuatu",earthquake,13.9,8.1,0.111,30,reviewed,us,us
2022-04-19T00:20:53.574Z,-10.9376,166.0064,47.53,5.3,mww,,54,4.631,0.73,us,us7000h36v,2022-04-30T04:24:43.040Z,"32 km SE of Lata, Solomon Islands",earthquake,3.4,5,0.089,12,reviewed,us,us
2022-04-18T23:33:34.705Z,-11.267,162.8021,11.5,5.5,mww,,47,3.345,0.73,us,us7000h36n,2022-04-29T05:24:28.095Z,"131 km SE of Kirakira, Solomon Islands",earthquake,5.6,3.6,0.086,13,reviewed,us,us
2022-04-18T20:58:31.367Z,-11.4056,162.7899,10,4.4,mb,,106,3.411,0.45,us,us6000hfnu,2022-04-22T21:00:47.040Z,"141 km SE of Kirakira, Solomon Islands",earthquake,5.8,1.9,0.155,12,reviewed,us,us
2022-04-18T20:03:08.505Z,-11.1836,162.8815,10,4.5,mb,,88,3.367,0.76,us,us6000hfnr,2022-04-22T20:48:32.040Z,"132 km SE of Kirakira, Solomon Islands",earthquake,8,1.9,0.151,13,reviewed,us,us
2022-04-18T19:33:08.706Z,-21.7832,170.6969,98.26,4.6,mb,,120,3.123,0.98,us,us7000h34z,2022-04-22T20:41:48.040Z,"288 km SSE of Isangel, Vanuatu",earthquake,10.1,6.2,0.09,38,reviewed,us,us
