"time","latitude","longitude","depth","mag","magType","nst","gap","dmin","rms","net","id","updated","place","type","horizontalError","depthError","magError","magNst","status","locationSource","magSource","strTime","Month","Day","Year","DailyS","CumulativeS"
2022-04-29 12:00:01,-15.4224,168.0997,120.91,4.6,"mb",NA,113,6.259,0.43,"us","us7000h5u1",2022-04-29 12:20:18,"101 km E of Luganville, Vanuatu","earthquake",8.7,9.2,0.122,20,"reviewed","us","us","04/29/22 12:00:01",4,29,2022,43201,10238401
2022-04-28 09:29:17,-19.9753,169.9052,234.54,4.4,"mb",NA,131,3.484,0.57,"us","us7000h5l6",2022-04-28 10:07:37,"81 km SE of Isangel, Vanuatu","earthquake",12.6,8.3,0.095,32,"reviewed","us","us","04/28/22 09:29:17",4,28,2022,34157,10142957
2022-04-27 23:09:23,-19.2902,167.5419,10,5.4,"mww",NA,72,3.307,1.01,"us","us7000h5hl",2022-04-28 23:12:37,"182 km N of Wé, New Caledonia","earthquake",7.6,1.8,0.089,12,"reviewed","us","us","04/27/22 23:09:23",4,27,2022,83363,10105763
2022-04-27 08:49:17,-22.8711,170.9858,10,4.9,"mb",NA,134,6.73,1.33,"us","us6000hgml",2022-04-27 09:04:30,"southeast of the Loyalty Islands","earthquake",11.8,2,0.112,25,"reviewed","us","us","04/27/22 08:49:17",4,27,2022,31757,10054157
2022-04-26 00:41:26,-12.6056,166.7839,86,4.7,"mb",NA,212,7.412,0.35,"us","us6000hgd4",2022-04-26 01:37:28,"163 km NNW of Sola, Vanuatu","earthquake",14.2,10.6,0.143,15,"reviewed","us","us","04/26/22 00:41:26",4,26,2022,2486,9938486
2022-04-23 11:59:11,-17.8386,168.264,50.34,4.5,"mb",NA,143,2.586,0.65,"us","us6000hfzc",2022-04-24 22:56:12,"12 km SSW of Port-Vila, Vanuatu","earthquake",8.8,9.8,0.156,13,"reviewed","us","us","04/23/22 11:59:11",4,23,2022,43151,9719951
2022-04-20 20:05:04,-15.1839,167.9568,10,4.5,"mb",NA,166,0.772,1.25,"us","us6000hf40",2022-04-29 20:05:02,"93 km ENE of Luganville, Vanuatu","earthquake",5.5,1.9,0.096,32,"reviewed","us","us","04/20/22 20:05:04",4,20,2022,72304,9489904
2022-04-20 17:58:17,-22.6918,170.8634,10,4.9,"mb",NA,122,3.157,1.05,"us","us6000hf2i",2022-04-29 18:46:35,"southeast of the Loyalty Islands","earthquake",10.8,1.9,0.091,39,"reviewed","us","us","04/20/22 17:58:17",4,20,2022,64697,9482297
2022-04-20 05:13:07,-22.9058,170.8329,10,5.9,"mww",NA,42,3.139,1.46,"us","us7000h3h9",2022-04-21 05:16:37,"southeast of the Loyalty Islands","earthquake",8.1,1.8,0.039,62,"reviewed","us","us","04/20/22 05:13:07",4,20,2022,18787,9436387
2022-04-20 04:49:38,-15.8325,167.5357,74.16,4.8,"mb",NA,85,5.617,0.61,"us","us7000h3h6",2022-04-20 22:50:02,"29 km NNE of Norsup, Vanuatu","earthquake",13.9,8.1,0.111,30,"reviewed","us","us","04/20/22 04:49:38",4,20,2022,17378,9434978
2022-04-19 00:20:53,-10.9376,166.0064,47.53,5.3,"mww",NA,54,4.631,0.73,"us","us7000h36v",2022-04-30 04:24:43,"32 km SE of Lata, Solomon Islands","earthquake",3.4,5,0.089,12,"reviewed","us","us","04/19/22 00:20:53",4,19,2022,1253,9332453
2022-04-18 23:33:34,-11.267,162.8021,11.5,5.5,"mww",NA,47,3.345,0.73,"us","us7000h36n",2022-04-29 05:24:28,"131 km SE of Kirakira, Solomon Islands","earthquake",5.6,3.6,0.086,13,"reviewed","us","us","04/18/22 23:33:34",4,18,2022,84814,9329614
2022-04-18 20:58:31,-11.4056,162.7899,10,4.4,"mb",NA,106,3.411,0.45,"us","us6000hfnu",2022-04-22 21:00:47,"141 km SE of Kirakira, Solomon Islands","earthquake",5.8,1.9,0.155,12,"reviewed","us","us","04/18/22 20:58:31",4,18,2022,75511,9320311
2022-04-18 20:03:08,-11.1836,162.8815,10,4.5,"mb",NA,88,3.367,0.76,"us","us6000hfnr",2022-04-22 20:48:32,"132 km SE of Kirakira, Solomon Islands","earthquake",8,1.9,0.151,13,"reviewed","us","us","04/18/22 20:03:08",4,18,2022,72188,9316988
2022-04-18 19:33:08,-21.7832,170.6969,98.26,4.6,"mb",NA,120,3.123,0.98,"us","us7000h34z",2022-04-22 20:41:48,"288 km SSE of Isangel, Vanuatu","earthquake",10.1,6.2,0.09,38,"reviewed","us","us","04/18/22 19:33:08",4,18,2022,70388,9315188
2022-04-17 21:46:42,-13.7202,167.2563,203.47,4.6,"mb",NA,62,1.717,0.67,"us","us7000h2yq",2022-04-25 04:43:07,"36 km WNW of Sola, Vanuatu","earthquake",8.8,4.9,0.086,41,"reviewed","us","us","04/17/22 21:46:42",4,17,2022,78402,9236802
2022-04-17 15:49:54,-22.5908,170.5049,10,4.6,"mb",NA,99,2.826,0.31,"us","us6000hfkm",2022-04-24 17:31:40,"294 km ESE of Tadine, New Caledonia","earthquake",6.7,1.9,0.222,9,"reviewed","us","us","04/17/22 15:49:54",4,17,2022,56994,9215394
2022-04-17 07:46:36,-15.6828,167.7723,199.4,5.8,"mww",NA,35,0.596,0.71,"us","us7000h2u9",2022-04-18 07:49:51,"58 km NE of Norsup, Vanuatu","earthquake",8.7,5.3,0.098,10,"reviewed","us","us","04/17/22 07:46:36",4,17,2022,27996,9186396
2022-04-17 01:20:48,-11.6561,166.8291,225.12,4.3,"mb",NA,146,3.785,0.45,"us","us7000h2sc",2022-04-17 01:39:18,"Santa Cruz Islands","earthquake",15.9,10.8,0.168,13,"reviewed","us","us","04/17/22 01:20:48",4,17,2022,4848,9163248
2022-04-16 23:44:07,-16.2315,167.9698,182.53,4.7,"mb",NA,62,1.073,0.6,"us","us7000h2rv",2022-04-26 04:04:13,"60 km ESE of Lakatoro, Vanuatu","earthquake",7.5,6.1,0.089,38,"reviewed","us","us","04/16/22 23:44:07",4,16,2022,85447,9157447
2022-04-16 23:21:43,-22.6143,170.5561,10,4.4,"mb",NA,123,2.873,0.65,"us","us6000hfc5",2022-04-26 03:53:22,"southeast of the Loyalty Islands","earthquake",3.9,1.9,0.203,7,"reviewed","us","us","04/16/22 23:21:43",4,16,2022,84103,9156103
2022-04-16 21:57:37,-22.3964,170.6628,10,5.3,"mww",NA,54,2.982,0.75,"us","us7000h2rc",2022-04-26 03:59:40,"southeast of the Loyalty Islands","earthquake",7.8,1.8,0.069,20,"reviewed","us","us","04/16/22 21:57:37",4,16,2022,79057,9151057
2022-04-15 14:35:50,-11.0728,166.5273,137.2,4.4,"mb",NA,102,4.397,0.47,"us","us6000hfaa",2022-04-22 07:40:45,"88 km ESE of Lata, Solomon Islands","earthquake",8.4,5.3,0.092,34,"reviewed","us","us","04/15/22 14:35:50",4,15,2022,52550,9038150
