time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-04-30T06:33:02.653Z,-14.7253,-173.224,10,4.5,mb,,125,1.616,0.64,us,us7000h60u,2022-04-30T06:57:56.040Z,"138 km SW of Gataivai, Samoa",earthquake,14.3,1.9,0.15,13,reviewed,us,us
2022-04-30T06:14:40.908Z,-15.8054,-177.9434,10,4.6,mb,,107,1.498,0.77,us,us7000h60x,2022-04-30T07:06:36.040Z,"166 km S of Alo, Wallis and Futuna",earthquake,5.3,1.9,0.141,15,reviewed,us,us
2022-04-30T02:49:23.417Z,-16.2633,-177.7456,10,5,mb,,127,4.281,0.62,us,us7000h5zh,2022-04-30T03:42:29.040Z,"219 km S of Alo, Wallis and Futuna",earthquake,10.5,1.6,0.081,48,reviewed,us,us
2022-04-29T18:13:42.699Z,-25.0536,-176.918,62.14,5,mb,,72,4.285,0.87,us,us7000h5vs,2022-04-29T19:00:34.785Z,south of the Fiji Islands,earthquake,10.3,6,0.061,91,reviewed,us,us
2022-04-29T14:00:33.345Z,-16.4213,-173.3269,10,5,mb,,60,2.909,1.03,us,us7000h5ug,2022-04-29T14:19:17.040Z,"72 km SE of Hihifo, Tonga",earthquake,8.3,1.9,0.037,236,reviewed,us,us
2022-04-28T06:46:51.253Z,-16.0568,-173.8581,173.77,4.7,mb,,111,2.929,0.64,us,us7000h5kk,2022-04-28T07:08:23.040Z,"13 km SSW of Hihifo, Tonga",earthquake,11.8,4.1,0.12,26,reviewed,us,us
2022-04-27T01:27:24.802Z,-33.1119,-179.5042,79.02,5,mww,,75,4.07,0.46,us,us6000hgkn,2022-04-27T17:23:29.040Z,south of the Kermadec Islands,earthquake,9.7,5.2,0.089,12,reviewed,us,us
2022-04-26T15:17:54.207Z,-18.6031,-172.8973,10,4.6,mb,,95,4.789,0.94,us,us6000hggc,2022-04-26T16:13:19.040Z,"114 km E of Neiafu, Tonga",earthquake,11.2,1.9,0.093,36,reviewed,us,us
2022-04-26T14:34:25.501Z,-23.3982,-179.6788,544.85,4.4,mb,,105,6.012,0.4,us,us6000hgfx,2022-04-26T14:54:37.040Z,south of the Fiji Islands,earthquake,11.5,8.1,0.049,122,reviewed,us,us
2022-04-26T00:43:22.519Z,-17.8142,-179.9997,599.24,4.6,mb,,77,1.856,0.54,us,us6000hgcw,2022-04-26T01:57:34.040Z,"77 km ENE of Levuka, Fiji",earthquake,11.5,6.4,0.028,396,reviewed,us,us
2022-04-25T14:25:21.220Z,-21.6781,-179.1382,600.85,4.6,mb,,129,4.723,0.72,us,us6000hg85,2022-04-25T15:20:23.040Z,Fiji region,earthquake,15,12.5,0.097,35,reviewed,us,us
2022-04-24T18:57:25.761Z,-21.1803,-178.7067,554.7,4.3,mb,,148,4.585,0.79,us,us6000hg36,2022-04-24T20:45:39.040Z,Fiji region,earthquake,14.7,8.4,0.081,43,reviewed,us,us
2022-04-24T12:14:34.883Z,-20.5645,-177.7177,544.21,4.5,mb,,65,4.883,0.73,us,us6000hg1u,2022-04-24T12:33:10.040Z,"268 km WNW of Haveluloto, Tonga",earthquake,13,8.9,0.031,298,reviewed,us,us
2022-04-24T06:24:45.596Z,-20.2007,-177.1171,342.45,4.4,mb,,121,5.182,0.68,us,us6000hg0c,2022-04-24T07:00:37.040Z,"224 km WNW of Haveluloto, Tonga",earthquake,10.8,8.4,0.042,164,reviewed,us,us
2022-04-22T06:15:23.756Z,-30.042,-177.8423,37.02,5.3,mww,,65,0.78,0.71,us,us6000hfhy,2022-04-22T06:51:27.040Z,,earthquake,9,6.2,0.089,12,reviewed,us,us
2022-04-21T19:40:47.229Z,-16.637,-174.0221,119.48,4.7,mb,,135,3.468,0.85,us,us6000hfeq,2022-04-22T19:15:03.040Z,"79 km SSW of Hihifo, Tonga",earthquake,8.9,5.3,0.112,24,reviewed,us,us
2022-04-21T01:53:25.523Z,-24.8937,179.9142,495.61,4.7,mb,,110,4.759,0.8,us,us6000hf5w,2022-04-22T02:30:28.040Z,south of the Fiji Islands,earthquake,13,7.2,0.054,103,reviewed,us,us
2022-04-20T18:26:45.480Z,-18.0204,-177.933,578.66,4.3,mb,,123,3.696,0.72,us,us6000hf2q,2022-04-29T19:35:41.040Z,"291 km E of Levuka, Fiji",earthquake,9.2,6,0.061,76,reviewed,us,us
2022-04-20T15:16:31.788Z,-19.1896,-172.8967,10,5.1,mww,,70,5.359,1.43,us,us7000h3l1,2022-04-26T17:25:52.375Z,"129 km ESE of Neiafu, Tonga",earthquake,10.1,1.9,0.089,12,reviewed,us,us
2022-04-20T10:06:36.228Z,-33.7452,-179.3735,10,4.9,mb,,83,4.251,0.94,us,us7000h3in,2022-04-20T11:51:00.040Z,south of the Kermadec Islands,earthquake,11.7,1.9,0.097,33,reviewed,us,us
2022-04-19T14:08:52.984Z,-21.4655,-173.8141,10,4.6,mb,,42,7.76,0.53,us,us6000hfma,2022-04-25T13:46:40.040Z,"118 km E of ‘Ohonua, Tonga",earthquake,5.6,1.9,0.123,23,reviewed,us,us
2022-04-19T04:33:43.299Z,-21.5075,-173.8119,18,5.9,mww,,29,8.251,0.71,us,us7000h393,2022-04-26T23:06:59.351Z,"119 km E of ‘Ohonua, Tonga",earthquake,9.1,1.7,0.098,10,reviewed,us,us
2022-04-19T01:48:51.929Z,-20.8636,-177.9263,456.3,4.3,mb,,70,4.903,0.48,us,us6000hfll,2022-04-25T22:34:58.040Z,"283 km W of Haveluloto, Tonga",earthquake,10.3,7.4,0.123,19,reviewed,us,us
2022-04-18T15:16:51.504Z,-25.6628,179.8019,523.1,4.4,mb,,114,4.116,0.45,us,us6000hfng,2022-04-24T19:29:26.040Z,south of the Fiji Islands,earthquake,11.2,8.1,0.17,11,reviewed,us,us
2022-04-17T21:14:19.487Z,-22.738,-179.4907,565.97,4.4,mb,,139,5.476,0.52,us,us6000hfks,2022-04-25T04:19:19.040Z,south of the Fiji Islands,earthquake,13.6,7.9,0.117,21,reviewed,us,us
2022-04-17T15:07:36.317Z,-18.5653,-177.7578,569.06,4.1,mb,,128,4.066,0.48,us,us6000hfka,2022-04-24T14:14:25.040Z,Fiji region,earthquake,13.3,8.7,0.079,46,reviewed,us,us
2022-04-17T06:47:42.080Z,-17.5953,-178.4432,541.72,4.3,mb,,112,3.283,0.55,us,us7000h2tw,2022-04-17T07:09:26.040Z,"243 km ENE of Levuka, Fiji",earthquake,13.3,7.7,0.085,41,reviewed,us,us
2022-04-17T02:12:26.594Z,-29.0702,-176.5937,10,5,mb,,207,15.269,0.93,us,us6000hfjt,2022-04-23T00:36:16.040Z,Kermadec Islands region,earthquake,17.6,1.9,0.178,12,reviewed,us,us
2022-04-17T02:11:46.301Z,-28.8723,-176.4815,10,5,mb,,98,1.318,1.08,us,us6000hfjp,2022-04-23T00:27:02.040Z,Kermadec Islands region,earthquake,6.3,1.9,0.189,11,reviewed,us,us
